ProbeId	ProbeName	GeneSymbol	ENTREZID
1059986	CUST_98_PI416379584	ZNF883	169834
1059827	CUST_966_PI416379584	ARHGAP42	143872
1059805	CUST_964_PI416379584	PSMA1	5682
1056743	CUST_928_PI416379584	FABP9	646480
1056067	CUST_92_PI416379584	BICDL2	146439
1055327	CUST_91_PI416379584	CCDC163	126661
1048935	CUST_883_PI416379584	UBTFL1	642623
1040933	CUST_8697_PI416261804	LOC100130264	100130264
1024641	CUST_821_PI416379584	ACSM4	341392
1024516	CUST_8190_PI416261804	PCAT18	728606
1018786	CUST_792_PI416379584	GCNT7	140687
1015194	CUST_786_PI416379584	ZSCAN5B	342933
1014774	CUST_783_PI416379584	BTBD17	388419
1011680	CUST_767_PI416379584	HEPHL1	341208
1059210	CUST_7301_PI416261804	LAMB2P1	22973
1010352	CUST_673_PI416379584	ZNF846	162993
1010386	CUST_670_PI416379584	SLFN14	342618
1011401	CUST_592_PI416379584	ZNF391	346157
1012061	CUST_564_PI416379584	KRTAP19-8	728299
1012637	CUST_507_PI416379584	RASSF10	644943
1013988	CUST_4580_PI416261804	LOC100233156	100233156
1013607	CUST_4477_PI416261804	SMIM9	100132963
1013651	CUST_4435_PI416261804	LOC100129291	100129291
1013759	CUST_4387_PI416261804	PRAMENP	649179
1013802	CUST_433_PI416379584	LIPN	643418
1014284	CUST_4286_PI416261804	LINC01869	284365
1014316	CUST_4249_PI416261804	ZNF812P	729648
1014378	CUST_42_PI416379584	LRRC14B	389257
1015293	CUST_2937_PI416261804	LOC389199	389199
1015655	CUST_2561_PI416261804	MROH3P	647215
1015661	CUST_2558_PI416261804	LINC01686	284648
1015743	CUST_2538_PI416261804	LACTBL1	646262
1016215	CUST_2443_PI416261804	MIG7	723788
1020493	CUST_1350_PI416379584	BICC1	80114
1022986	CUST_1211_PI416379584	GSTK1	373156
1023436	CUST_11378_PI416261804	MYRF-AS1	NA
1023872	CUST_1119_PI416379584	LMNTD1	160492
1023903	CUST_1116_PI416379584	MAGEB16	139604
1024741	CUST_1075_PI416379584	ETV3	2117
1024185	CUST_10662_PI416261804	PLAC9P1	389033
1034539	A_24_P336441	GUK1	2987
1059685	CUST_952_PI416379584	ZNF534	147658
1026721	CUST_831_PI416379584	EPHA6	285220
1025945	CUST_827_PI416379584	PLA2G2C	391013
1060067	CUST_986_PI416379584	VSTM5	387804
1059657	CUST_95_PI416379584	KBTBD13	390594
1034837	CUST_863_PI416379584	LINC00552	100130386
1032774	A_24_P703830	NANOS3	342977
1060087	CUST_988_PI416379584	AKR1B15	441282
1010363	CUST_672_PI416379584	GNAT3	346562
1010813	CUST_641_PI416379584	KRTAP25-1	100131902
1013760	CUST_4384_PI416261804	FAM230I	388882
1013931	CUST_409_PI416379584	KRTAP27-1	643812
1014895	CUST_3460_PI416261804	FAM205C	100129969
1015023	CUST_3205_PI416261804	LRRC72	100506049
1020842	CUST_1423_PI416379584	FEZF1	389549
1021690	CUST_1262_PI416379584	CLCN5	1184
1023198	CUST_11949_PI416261804	C6orf141	135398
1024762	CUST_10731_PI416261804	PPBPP2	10895
1024491	CUST_1055_PI416379584	CR1L	1379
1025229	CUST_10_PI416379584	OR4N3P	390539
1059547	CUST_94_PI416379584	DYTN	391475
1025081	CUST_1053_PI416379584	MDGA2	161357
1026481	A_32_P48949	C9orf129	445577
1015078	CUST_3172_PI416261804	GUSBP10	642006
1021007	CUST_1336_PI416379584	JAKMIP1	152789
1022617	CUST_1169_PI416379584	CC2D2B	387707
1023369	CUST_1143_PI416379584	HIGD1C	613227
1024244	CUST_10608_PI416261804	GLYCTK	132158
1033341	A_24_P384839	LSS	4047
1013474	CUST_775_PI416379584	INSYN2B	100131897
1015065	CUST_3180_PI416261804	PAXIP1-AS1	202781
1012511	CUST_771_PI416379584	CCDC160	347475
1058971	CUST_6995_PI416261804	TMEM200C	645369
1015697	CUST_304_PI416379584	LIPK	643414
1015955	CUST_2816_PI416261804	PPIAL4G	644591
1016442	CUST_2713_PI416261804	PRSS56	646960
1054017	A_23_P146354	POMT1	10585
1059253	CUST_733_PI416379584	PIRT	644139
1012324	CUST_550_PI416379584	PRAMEF20	645425
1014051	CUST_4073_PI416261804	KCNJ2-AS1	400617
1020511	CUST_1349_PI416379584	PYDC2	152138
1022478	CUST_1242_PI416379584	ZAR1L	646799
1021999	CUST_1233_PI416379584	TRIM77	390231
1013578	CUST_4500_PI416261804	SPANXA2-OT1	619455
1033285	A_24_P414256	TMA7	51372
1034232	A_24_P340066	ELF4	2000
1060077	CUST_987_PI416379584	PATE4	399968
1059117	CUST_735_PI416379584	NKX2-4	644524
1013426	CUST_4691_PI416261804	SYCN	342898
1014145	CUST_3975_PI416261804	CALB2	794
1014990	CUST_784_PI416379584	CLRN2	645104
1015821	CUST_2453_PI416261804	SPATA42	642864
1060109	CUST_99_PI416379584	C12orf77	196415
1058721	CUST_759_PI416379584	DPF1	8193
1055400	CUST_913_PI416379584	MSGN1	343930
1034852	A_24_P323104	DIAPH1	1729
1011463	CUST_766_PI416379584	KCNU1	157855
1017674	CUST_1697_PI416261804	EIF5AL1	143244
1022367	CUST_1187_PI416379584	ARMS2	387715
1032521	A_24_P548866	HIGD1A	25994
1010595	CUST_687_PI416379584	C1orf68	100129271
1014574	CUST_3705_PI416261804	SMIM10L1	100129361
1023353	CUST_11440_PI416261804	PDCD4-AS1	282997
1045786	A_23_P379864	ASRGL1	80150
1056940	A_23_P122906	AUTS2	26053
1036345	CUST_864_PI416379584	DMRTA2	63950
1010375	CUST_671_PI416379584	EIF4E1B	253314
1032191	A_24_P653603	NDUFAF8	284184
1037284	CUST_865_PI416379584	RNASE9	390443
1014348	CUST_4215_PI416261804	PPP1R37	284352
1017431	CUST_16757_PI416261804	NTF3	4908
1023391	CUST_1141_PI416379584	SETBP1	26040
1024766	CUST_10729_PI416261804	SMAD5-AS1	9597
1039097	A_24_P113131	TSPOAP1	9256
1012386	CUST_539_PI416379584	TMEM273	170371
1016135	CUST_208_PI416261804	PSAPL1	768239
1021522	CUST_1326_PI416379584	BSPH1	100131137
1024248	CUST_10604_PI416261804	EFCAB3	146779
1022071	CUST_1278_PI416379584	RNF222	643904
1026882	A_32_P393316	RAPGEF3	10411
1038965	A_24_P119131	TMEM120B	144404
1017337	CUST_1802_PI417557136	GAD2	2572
1021838	CUST_1298_PI416379584	KPNA7	402569
1032948	A_24_P408047	PLEKHA4	57664
1020089	CUST_796_PI416379584	PSMG4	389362
1021961	CUST_12345_PI416261804	ARHGAP27P2	440461
1028783	A_32_P154121	SETDB2	83852
1029779	A_24_P945283	DLG3	1741
1011375	CUST_594_PI416379584	SEL1L2	80343
1022837	CUST_1215_PI416379584	SPINK5	11005
1027252	A_32_P29239	FAM205A	259308
1043791	A_23_P428738	ANG	283
1014364	CUST_779_PI416379584	ZNF680	340252
1047117	A_23_P34382	CLCA3P	9629
1028953	CUST_846_PI416379584	C1orf185	284546
1014196	CUST_3917_PI416261804	LINC01197	400456
1027707	A_32_P206839	CRIM1-DT	100288911
1044465	A_23_P418434	LINC01590	63914
1020790	CUST_798_PI416379584	DERL3	91319
1014115	CUST_401_PI417507815	TRABD2B	388630
1022049	CUST_12309_PI416261804	CSNK1A1P1	161635
1023617	CUST_1126_PI416379584	FAM228B	375190
1057149	A_23_P116173	COLCA2	120376
1060169	CUST_995_PI416379584	ULK2	9706
1059375	CUST_72_PI416379584	SPINK8	646424
1027958	A_32_P18723	TMEM64	169200
1042008	A_23_P6321	CLDN5	7122
1056894	CUST_931_PI416379584	CNPY1	285888
